u'Date', u'Time\nET', u'Statistic', u'For', u'Actual', u'Briefing Forecast', u'Market Expects', u'Prior', u'Revised\nFrom'
u'Jan 17', u'9:15 AM', u'Industrial Production', u'Dec', u'0.3%', u'0.3%', u'0.3%', u'1.0%', u'1.1%'
u'Jan 17', u'9:15 AM', u'Capacity Utilization', u'Dec', u'79.2%', u'79.1%', u'79.1%', u'79.1%', u'79.0%'
u'Jan 17', u'9:55 AM', u'Mich Sentiment', u'Jan', u'80.4', u'81.5', u'83.0', u'82.5', u'-'
u'Jan 17', u'10:00 AM', u'JOLTS - Job Openings', u'Nov', u'4.001M', u'NA', u'NA', u'3.931M', u'3.925M'
u'Jan 22', u'7:00 AM', u'MBA Mortgage Index', u'01/18', u'4.7%', u'NA', u'NA', u'11.9%', u'-'
u'Jan 23', u'8:30 AM', u'Continuing Claims', u'01/11', u'-', u'NA', u'NA', u'3030K', u'-'
u'Jan 23', u'8:30 AM', u'Initial Claims', u'01/18', u'326K', u'330K', u'327K', u'325K', u'326K'
u'Jan 23', u'8:30 AM', u'Continuing Claims', u'01/11', u'3056K', u'2900K', u'2900K', u'3022K', u'3030K'
u'Jan 23', u'9:00 AM', u'FHFA Housing Price Index', u'Nov', u'0.1%', u'NA', u'NA', u'0.5%', u'-'
u'Jan 23', u'10:00 AM', u'Existing Home Sales', u'Dec', u'4.87M', u'4.87M', u'4.90M', u'4.83M', u'4.90M'
u'Jan 23', u'10:00 AM', u'Leading Indicators', u'Dec', u'0.1%', u'0.1%', u'0.2%', u'1.0%', u'0.8%'
u'Jan 23', u'10:30 AM', u'Natural Gas Inventories', u'01/18', u'-107 bcf', u'NA', u'NA', u'-287 bcf', u'-'
u'Jan 23', u'11:00 AM', u'Crude Inventories', u'01/18', u'0.990M', u'NA', u'NA', u'-7.658M', u'-'
u'Jan 27', u'10:00 AM', u'New Home Sales', u'Dec', u'414K', u'440K', u'457K', u'445K', u'464K'
u'Jan 28', u'8:30 AM', u'Durable Orders', u'Dec', u'-4.3%', u'2.8%', u'2.1%', u'2.6%', u'3.4%'
u'Jan 28', u'8:30 AM', u'Durable Goods -ex transportation', u'Dec', u'-1.6%', u'0.7%', u'0.6%', u'0.1%', u'1.2%'
u'Jan 28', u'9:00 AM', u'Case-Shiller 20-city Index', u'Nov', u'13.7%', u'13.8%', u'13.8%', u'13.6%', u'-'
u'Jan 28', u'10:00 AM', u'Consumer Confidence', u'Jan', u'80.7', u'77.0', u'77.5', u'77.5', u'78.1'
u'Jan 29', u'7:00 AM', u'MBA Mortgage Index', u'01/25', u'-0.2%', u'NA', u'NA', u'4.7%', u'-'
u'Jan 29', u'10:30 AM', u'Crude Inventories', u'01/25', u'6.421M', u'NA', u'NA', u'0.990M', u'-'
u'Jan 29', u'2:00 PM', u'FOMC Rate Decision', u'Jan', u'0.25%', u'0.25%', u'0.25%', u'0.25%', u'-'
u'Jan 30', u'8:30 AM', u'Initial Claims', u'01/25', u'348K', u'330K', u'325K', u'329K', u'326K'
u'Jan 30', u'8:30 AM', u'Continuing Claims', u'01/18', u'2991K', u'3000K', u'3000K', u'3007K', u'3056K'
u'Jan 30', u'8:30 AM', None, u'Q4', u'3.2%', u'3.6%', u'3.0%', u'4.1%', u'-'
u'Jan 30', u'8:30 AM', u'Chain Deflator-Adv.', u'Q4', u'1.3%', u'1.7%', u'1.2%', u'2.0%', u'-'
u'Jan 30', u'10:00 AM', u'Pending Home Sales', u'Dec', u'-8.7%', u'0.0%', u'-0.2%', u'-0.3%', u'0.2%'
u'Jan 30', u'10:30 AM', u'Natural Gas Inventories', u'01/25', u'-230 bcf', u'NA', u'NA', u'-107 bcf', u'-'
u'Jan 31', u'8:30 AM', u'Personal Income', u'Dec', u'0.0%', u'0.0%', u'0.2%', u'0.2%', u'-'
u'Jan 31', u'8:30 AM', u'Personal Spending', u'Dec', u'0.4%', u'0.2%', u'0.2%', u'0.6%', u'0.5%'
u'Jan 31', u'8:30 AM', None, u'Dec', u'0.1%', u'0.2%', u'0.1%', u'0.1%', u'-'
u'Jan 31', u'8:30 AM', u'Employment Cost Index', u'Q4', u'0.5%', u'0.4%', u'0.4%', u'0.4%', u'-'
u'Jan 31', u'9:45 AM', u'Chicago PMI', u'Jan', u'59.6', u'57.0', u'58.0', u'60.8', u'59.1'
u'Jan 31', u'9:55 AM', None, u'Jan', u'81.2', u'80.0', u'80.4', u'80.4', u'-'
u'Feb 3', u'10:00 AM', u'ISM Index', u'Jan', u'51.3', u'57.0', u'56.0', u'56.5', u'57.0'
u'Feb 3', u'10:00 AM', u'Construction Spending', u'Dec', u'0.1%', u'-1.0%', u'0.1%', u'0.8%', u'1.0%'
u'Feb 3', u'2:00 PM', u'Auto Sales', u'Jan', u'-', u'NA', u'NA', u'5.3M', u'-'
u'Feb 3', u'2:00 PM', u'Truck Sales', u'Jan', u'-', u'NA', u'NA', u'6.6M', u'-'
u'Feb 4', u'10:00 AM', u'Factory Orders', u'Dec', u'-1.5%', u'-2.0%', u'-1.7%', u'1.5%', u'1.8%'
u'Feb 5', u'7:00 AM', u'MBA Mortgage Index', u'02/01', u'0.4%', u'NA', u'NA', u'-0.2%', u'-'
u'Feb 5', u'8:15 AM', u'ADP Employment Change', u'Jan', u'175K', u'175K', u'178K', u'227K', u'238K'
u'Feb 5', u'10:00 AM', u'ISM Services', u'Jan', u'54.0', u'53.5', u'53.8', u'53.0', u'-'
u'Feb 5', u'10:30 AM', u'Crude Inventories', u'02/01', u'0.440M', u'NA', u'NA', u'6.421M', u'-'
u'Feb 6', u'7:30 AM', u'Challenger Job Cuts', u'Jan', u'47.3%', u'NA', u'NA', u'-5.9%', u'-'
u'Feb 6', u'8:30 AM', u'Initial Claims', u'02/01', u'331K', u'330K', u'335K', u'351K', u'348K'
u'Feb 6', u'8:30 AM', u'Continuing Claims', u'01/25', u'2964K', u'3000K', u'2993K', u'2949K', u'2991K'
u'Feb 6', u'8:30 AM', u'Trade Balance', u'Dec', u'-$38.7B', u'-$37.0B', u'-$36.0B', u'-$34.6B', u'-$34.3B'
u'Feb 6', u'8:30 AM', None, u'Q4', u'3.2%', u'2.5%', u'2.4%', u'3.6%', u'3.0%'
u'Feb 6', u'8:30 AM', u'Unit Labor Costs', u'Q4', u'-1.6%', u'0.0%', u'-0.5%', u'-2.0%', u'-1.4%'
u'Feb 6', u'10:30 AM', u'Natural Gas Inventories', u'02/01', u'-262 bcf', u'NA', u'NA', u'-230 bcf', u'-'
u'Feb 7', u'8:30 AM', u'Nonfarm Payrolls', u'Jan', u'113K', u'150K', u'175K', u'75K', u'74K'
u'Feb 7', u'8:30 AM', u'Nonfarm Private Payrolls', u'Jan', u'142K', u'160K', u'161K', u'89K', u'87K'
u'Feb 7', u'8:30 AM', u'Unemployment Rate', u'Jan', u'6.6%', u'6.5%', u'6.7%', u'6.7%', u'-'
u'Feb 7', u'8:30 AM', u'Hourly Earnings', u'Jan', u'0.2%', u'0.2%', u'0.2%', u'0.0%', u'0.1%'
u'Feb 7', u'8:30 AM', u'Average Workweek', u'Jan', u'34.4', u'34.5', u'34.4', u'34.4', u'-'
u'Feb 7', u'3:00 PM', u'Consumer Credit', u'Dec', u'$18.8B', u'$10.0B', u'$11.5B', u'$12.4B', u'$12.3B'
u'Feb 11', u'10:00 AM', u'JOLTS - Job Openings', u'Dec', u'3.990M', u'NA', u'NA', u'4.033M', u'4.001M'
u'Feb 11', u'10:00 AM', u'Wholesale Inventories', u'Dec', u'0.3%', u'0.6%', u'0.6%', u'0.5%', u'-'
u'Feb 12', u'7:00 AM', u'MBA Mortgage Index', u'02/08', u'-2.0%', u'NA', u'NA', u'0.4%', u'-'
u'Feb 12', u'10:30 AM', u'Crude Inventories', u'02/08', u'3.267M', u'NA', u'NA', u'0.440M', u'-'
u'Feb 12', u'2:00 PM', u'Treasury Budget', u'Jan', u'-$10.4B', u'-$10.0B', u'-$10.0B', u'$2.9B', u'-'
u'Feb 13', u'8:30 AM', u'Initial Claims', u'02/08', u'339K', u'335K', u'335K', u'331K', u'-'
u'Feb 13', u'8:30 AM', u'Continuing Claims', u'02/01', u'2953K', u'2975K', u'2975K', u'2971K', u'2964K'
u'Feb 13', u'8:30 AM', u'Retail Sales', u'Jan', u'-0.4%', u'-0.2%', u'0.0%', u'-0.1%', u'0.2%'
u'Feb 13', u'8:30 AM', None, u'Jan', u'0.0%', u'0.2%', u'0.1%', u'0.3%', u'0.7%'
